,model,article_id,subject_bias,framing_bias,treatment_bias,guests_bias,confidence,comment,overall_bias
0,gemma3:4b,28980688,0.1,0.2,0.3,0.2,0.7,"The article focuses on economic relations between Switzerland and Iraq, presenting a generally positive outlook for investment. It highlights Swiss expertise and the Iraqi government's desire for partnerships based on quality and skills transfer. The article acknowledges geopolitical risks but largely frames the situation as an opportunity for Swiss businesses.",0.2
1,gemma3:4b,29134931,0.2,0.3,0.1,0.0,0.8,"The article primarily focuses on a natural disaster and its consequences, presenting a factual account. There's a slight leaning towards highlighting the government's response and the potential for long-term issues related to compensation and infrastructure. The inclusion of quotes from a resident and a geologist adds credibility.",0.15
2,gemma3:4b,29137930,0.0,0.1,0.0,0.0,0.8,"The article focuses on a paleontological discovery, presenting scientific findings about ancient ecosystems and predator-prey relationships. The tone is neutral and informative, describing the fossil evidence and the researchers' interpretations. There is no explicit political leaning or favoring of any particular group.",0.025
3,gemma3:4b,29138340,0.6,0.7,0.8,-0.3,0.85,"The article primarily frames the debate around a climate fund initiative, leaning slightly towards supporting the initiative due to the prominence of the Socialist Party and Green Party voices. It consistently presents arguments against the fund's potential for debt and rigidity, highlighting concerns about Swiss financial constraints. The article features quotes from proponents and opponents, with a slightly stronger emphasis on the opposing viewpoint.",0.4499999999999999
4,gemma3:4b,29138341,0.1,0.2,0.3,0.2,0.8,"The article focuses on a specific incident (an unspecified fire) and the subsequent financial support provided by the Swiss government. It presents a neutral account of the situation, highlighting both the challenges (delays, limited coverage) and the solutions (a new fund and flexible disbursement). The inclusion of multiple perspectives, including those of victims and government officials, contributes to a balanced narrative.",0.2
5,gemma3:4b,29138377,0.3,0.6,0.2,0.4,0.8,"The article heavily focuses on individuals connected to Jeffrey Epstein, primarily through documented relationships and financial transactions. The framing leans towards exposing potential wrongdoing and scandal, particularly regarding the royal family and prominent political figures. While the article presents information about the individuals involved, it does not offer a balanced perspective or explicitly advocate for a particular viewpoint.",0.375
6,gemma3:4b,29138628,0.6,0.4,0.3,-0.4,0.8,"The article focuses on renewable energy and energy sovereignty, reflecting a left-leaning approach to environmental policy. While acknowledging some right-leaning concerns, the framing primarily highlights opposition from groups like Ensemble à Gauche and the UDC, suggesting a more critical perspective. The reporteur, a PLR member, is presented as largely supportive, but with internal divisions within the party.",0.225
7,llama3.2:latest,28980688,-0.1,0.2,0.3,0.5,0.8,"L'article présente une vision générale positive de la relation entre l'Irak et la Suisse, avec des citations d'experts qui soulignent les avantages économiques de cette alliance. Cependant, les critiques mentionnées par l'ambassadeur suisse Daniel Hunn sur les tensions régionales et les ingérences extérieures suggèrent que le pays est confronté à des défis importants pour renforcer sa confiance en tant qu'investisseur.",0.225
8,llama3.2:latest,29134931,-0.5,0.2,0.1,0.0,0.8,"L'article présente une analyse objective des événements et des causes du glissement de terrain à Niscemi, mais il manque de détails sur les responsabilités politiques impliquées. La protection civile affirme que le terrain continue de bouger fortement, ce qui souligne l'importance d'une vigilance accrue pour la sécurité publique.",-0.049999999999999996
9,llama3.2:latest,29137930,-0.1,0.2,0.1,0.0,0.8,"L'article présente une approche scientifique objective et neutre, en présentant les découvertes de manière claire et concise. Les citations d'experts sont également équilibrées entre les deux parties politiques.",0.05
10,llama3.2:latest,29138340,-0.5,-1.0,-0.2,0.0,0.8,"L'article présente une vision généralement favorable à la protection du climat et aux politiques de gauche, mais avec des critiques constructives envers les mesures proposées par l'initiative. La conseillère nationale Simone de Montmollin exprime ses inquiétudes sur le coût potentiel d'un fonds climat et souligne l'importance de la gestion durable des finances.",-0.425
11,llama3.2:latest,29138341,-0.1,0.0,0.0,0.0,0.8,"L'article présente un ton neutre et ne prend pas position sur le sujet, mais souligne les difficultés financières que les familles de victimes peuvent rencontrer. Le discours du chef de l'Office valaisan de coordination des prestations sociales est plus formel et moins émotionnel que celui des proches des victimes. La mention des conséquences financières lourdes pour les familles est un point clé du article.",-0.025
12,llama3.2:latest,29138377,-1.0,-1.0,-1.0,-1.0,0.8,"L'article présente une analyse critique des liens entre les membres de la famille royale norvégienne et Jeffrey Epstein, soulignant les allégations d'abus sexuels et de complicité avec le financier américain. Les citations de Mette-Marit et Jack Lang sont présentées comme étant compromettantes pour leur image. Le ton de l'article est critique et déconstruit la narration officielle autour des liens entre les membres de la famille royale et Epstein.",-1.0
13,llama3.2:latest,29138628,-0.2,-0.1,0.05,-0.15,0.8,"L'article présente un ton relativement neutre, mais avec une légère tendance à la droite en raison de l'accent mis sur les objectifs de souveraineté énergétique et de réduction des coûts pour les propriétaires. Le langage utilisé est généralement formel et technique, ce qui peut contribuer à une impression de neutralité. Cependant, la présence de déclarations fortes de certains politiciens (par exemple, Nicolas Suter) suggère que l'article peut avoir une légère orientation à droite.",-0.1
14,gemma2:latest,28980688,0.0,0.1,0.0,0.0,0.6,The article presents a generally neutral overview of Swiss businesses in Iraq. There is a slight right-leaning bias due to the emphasis on economic opportunity and stability.,0.025
15,gemma2:latest,29134931,0.0,-0.1,0.0,0.0,0.4,The article focuses on a natural disaster and its political ramifications. There is a slight left-leaning framing due to the emphasis on government inaction and the opposition's call for funding reallocation.,-0.025
16,gemma2:latest,29137930,0.0,0.0,0.0,0.0,0.95,The article presents a scientific discovery about fossilized vomit and its implications for understanding ancient ecosystems. There is no discernible political slant in the topic or presentation.,0.0
17,gemma2:latest,29138340,0.0,-0.2,-0.3,0.1,0.6,"The article presents both sides of the climate fund initiative, but leans slightly left due to the focus on arguments against the initiative and quotes from a representative who opposes it.",-0.1
18,gemma2:latest,29138341,0.0,0.0,0.0,0.0,0.8,The article reports on financial aid provided to victims of a fire. There is no discernible political slant in the topic or coverage.,0.0
19,gemma2:latest,29138377,0.0,0.1,0.0,0.0,0.5,The article presents a factual account of individuals' connections to Jeffrey Epstein. There is a slight right-leaning framing due to the focus on political figures and potential scandals.,0.025
20,gemma2:latest,29138628,0.0,-0.2,0.1,0.2,0.6,"The article presents a factual account of the energy law revision. While it mentions left-leaning criticism of the law's limitations, it also highlights right-leaning opposition based on economic concerns. The overall tone is neutral.",0.025
21,phi3:mini,28980688,-0.1,-0.2,-0.3,0.0,0.85,The article appears to lean slightly left due to its focus on economic development and investments in Iraq's reconstruction post-crisis period. The tone is somewhat negative towards external influences hindering progress but remains neutral overall.,-0.15000000000000002
22,phi3:mini,29137930,-0.1,-0.2,0.0,0.0,0.95,"The article maintains a neutral tone with slight left-leaning bias in subject matter by discussing prehistoric life and ecosystem dynamics rather than contemporary politics or economics. The framing is slightly more negative towards the right due to its focus on ancient predators which might be perceived as less favorable compared to modern biodiversity conservation efforts often associated with left-leaning ideologies. However, there's no clear political bias in treatment and guests.",-0.07500000000000001
23,phi3:mini,29138340,-0.1,-0.5,-0.4,0.0,0.95,The article appears to lean slightly left due to its focus on environmental concerns and skepticism towards the proposed climate fund's effectiveness in addressing these issues quickly without significant debt implications for future generations.,-0.25
24,phi3:mini,29138341,-0.1,-0.2,-0.3,0.0,0.95,The article appears to lean slightly left due to its focus on social support for victims' families and the mention of solidarity efforts without significant right-leaning elements or criticisms towards such measures.,-0.15000000000000002
25,phi3:mini,29138377,0.0,-1.0,-1.5,-1.0,0.95,"The article exhibits a clear left-leaning bias through its negative portrayal of Jeffrey Epstein and the subjects associated with him. The framing is consistently critical towards right figures like Jack Lang and Peter Mandelson while sympathetically depicting Mette-Marit, Sarah Ferguson, and Andrew as victims or misguided individuals rather than culpable parties.",-0.875
26,qwen2.5:3b-instruct,28980688,0.0,-0.25,-0.15,0.0,0.85,"The article discusses economic relations between Switzerland and Iraq, with a focus on Swiss companies operating in the country and Iraqi businesswomen seeking to promote Swiss-Saudi partnerships. The tone is neutral but leans slightly towards the right due to its emphasis on successful Swiss businesses and their positive image.",-0.1
27,qwen2.5:3b-instruct,29134931,-0.4,-0.6,-0.5,0.0,0.85,"The article focuses on a recent disaster in Niscemi, Italy, and discusses the lack of early warning systems and inadequate government response to geological risks. It highlights political debates about funding for infrastructure projects versus immediate safety measures.",-0.375
28,qwen2.5:3b-instruct,29137930,0.0,-0.25,0.0,0.0,0.8,The article focuses on paleontological discovery and does not show any clear bias towards left or right.,-0.0625
29,qwen2.5:3b-instruct,29138340,-0.6,-0.8,-0.75,0.0,1.0,"The article heavily criticizes the initiative for climate fund, presenting it as overly ambitious and potentially detrimental to future generations' financial stability.",-0.5375
30,qwen2.5:3b-instruct,29138341,-0.2,-0.4,-0.3,0.0,0.85,"The article discusses a social assistance program for victims of an incident, highlighting both the benefits and limitations of the system.",-0.22500000000000003
31,qwen2.5:3b-instruct,29138377,-0.8,-0.7,-0.6,-0.5,1.0,"The article heavily focuses on high-profile political and cultural figures associated with Jeffrey Epstein, presenting their interactions in a negative light.",-0.65
32,qwen2.5:3b-instruct,29138628,-0.4,-0.6,-0.5,0.0,0.85,"The article highlights the divided opinions on a new energy law, with critics from the left and center-left expressing dissatisfaction while supporters are more positive.",-0.375
