,model,article_id,subject_bias,framing_bias,treatment_bias,guests_bias,confidence,comment,run,overall_bias
68,qwen2.5:3b-instruct,29137930,0.0,-0.25,-0.15,0.0,0.8,"The article is neutral in its subject matter and does not show a clear left or right bias in framing, tone, or treatment of the topic. The guests (Arnaud Rebillard) are presented without any apparent political leanings.",3,-0.1
69,qwen2.5:3b-instruct,29138340,-0.5,-0.75,-0.625,0.0,1.0,"The article presents a balanced view of the initiative, but leans slightly towards the left with its criticism of the initiative's method and its treatment of Simone de Montmollin as the main voice against it.",3,-0.46875
70,qwen2.5:3b-instruct,29138341,-0.1,-0.2,-0.3,0.0,0.85,"The article focuses on a social welfare program for victims and their families, with a neutral tone overall but slightly leans towards the left in its treatment of the issue.",3,-0.15000000000000002
71,qwen2.5:3b-instruct,29138628,-0.3,-0.4,-0.5,0.0,0.8,"The article discusses a law aimed at reducing fossil fuel usage and increasing renewable energy, but leans towards the right with its conservative stance on mandatory renovations and installation of solar panels.",3,-0.3
72,llama3.2:latest,28980688,-0.1,0.3,0.2,0.5,0.8,"L'article présente une vision générale positive de l'économie irakienne et des relations entre la Suisse et l'Irak, avec des citations d'experts qui soulignent les avantages du partenariat économique. Cependant, il est important de noter que le contexte géopolitique et les défis institutionnels restent une préoccupation majeure pour les investissements étrangers.",4,0.225
73,llama3.2:latest,29134931,-0.5,-0.2,0.1,0.0,0.8,"L'article présente une analyse objective des événements, mais les citations de la riveraine et du parquet peuvent être perçues comme un peu partiale. La protection civile est citée comme preuve, mais son objectivité peut être discutée. Le gouvernement italien est critiqué pour son manque d'action préalable.",4,-0.15
74,llama3.2:latest,29137930,-0.05,0.0,0.0,0.0,1.0,"L'article présente une approche scientifique neutre, en se concentrant sur la découverte et les implications de l'expédition. Les citations d'Arnaud Rebillard sont également équilibrées entre des points de vue scientifiques et populaires.",4,-0.0125
75,llama3.2:latest,29138340,-0.5,1.0,0.0,-0.25,0.8,"L'initiative pour un fonds climat est présentée comme une nécessité, mais la conseillère nationale Simone de Montmollin souligne les risques d'un endettement massif et la rigidité de la mesure. Le texte est rédigé dans un ton défensif envers l'initiative, ce qui suggère une framing bias à droite.",4,0.0625
76,llama3.2:latest,29138341,-0.1,0.2,0.0,0.0,0.8,"L'article présente un ton neutre et ne semble pas avoir de préférence pour une idéologie en particulier. Cependant, certains passages suggèrent que le dispositif LAVI pourrait être utilisé pour soutenir les familles de victimes sans distinction de parti politique.",4,0.025
77,llama3.2:latest,29138377,-1.0,-1.0,-1.0,-1.0,0.5,"L'article présente une vision globale de l'affaire Epstein, en mettant en avant les liens entre les personnalités politiques et le financier américain. Le ton est critique et dénonçant les pratiques odieuses d'Epstein. Les sources citées sont variées, allant des médias à des personnalités politiques, ce qui donne une vision équilibrée de l'affaire.",4,-1.0
78,llama3.2:latest,29138628,-0.2,-0.1,0.05,-0.15,0.8,"La révision du texte de loi a été une affaire complexe, avec des groupes politiques ayant des opinions divergentes sur la manière de procéder. Les Vert-e-s et le Parti socialiste ont exprimé un sentiment d'inachevé à gauche, tandis que les Vert-libéraux ont accepté une loi qui n'est pas considérée comme révolutionnaire. Le groupe Ensemble à Gauche a décidé de s'abstenir en signe de protestation, tout en dénonçant les pressions des lobbys immobilier et pétrolier sur la droite.",4,-0.1
79,gemma2:latest,28980688,0.0,0.1,0.0,0.0,0.6,The article presents a generally neutral overview of Swiss businesses in Iraq. There is a slight right-leaning framing due to the emphasis on economic opportunity and stability.,4,0.025
80,gemma2:latest,29134931,0.0,-0.1,0.0,0.0,0.4,The article focuses on a natural disaster and its political ramifications. There is a slight left-leaning framing due to the emphasis on government inaction and calls for prioritizing infrastructure repair over a new bridge project.,4,-0.025
81,gemma2:latest,29137930,0.0,0.0,0.0,0.0,0.95,The article presents a scientific discovery about fossilized vomit and its implications for understanding ancient ecosystems. There is no discernible political slant in the topic or presentation.,4,0.0
82,gemma2:latest,29138340,0.0,-0.2,-0.3,0.1,0.6,"The article presents both sides of the climate fund initiative. However, it gives more voice to the opposing viewpoint and frames their arguments as more logical and responsible.",4,-0.1
83,gemma2:latest,29138341,0.0,0.0,0.0,0.0,0.8,The article reports on financial aid provided to victims of a fire. There is no overt political slant in the topic or coverage.,4,0.0
84,gemma2:latest,29138377,0.0,0.1,0.0,0.0,0.6,The article presents a factual account of individuals' connections to Jeffrey Epstein. There is a slight right-leaning framing due to the emphasis on legal and financial aspects.,4,0.025
85,gemma2:latest,29138628,0.0,-0.2,0.1,0.2,0.6,"The article focuses on a policy topic with left-leaning goals but presents diverse viewpoints. The framing leans slightly left due to emphasis on environmental concerns and criticism of lobbying influence. However, the treatment of different political parties is relatively balanced.",4,0.025
86,phi3:mini,28980688,-0.1,-0.2,-0.3,0.0,0.95,The article seems to lean slightly left due to its focus on economic development and investments in Iraq's reconstruction post-crisis period. The tone is cautiously optimistic but acknowledges the challenges faced by foreign businesses considering entering the market.,4,-0.15000000000000002
87,phi3:mini,29138377,0.0,-1.0,-1.5,-1.0,0.95,The article presents a negative framing towards both Jeffrey Epstein and Mette-Marit with clear bias in treatment of subjects; guests' political leanings are evident through their quotes.,4,-0.875
88,qwen2.5:3b-instruct,28980688,-0.1,-0.2,-0.3,0.5,0.8,"The article discusses economic relations between Switzerland and Iraq, highlighting the positive aspects of Swiss business presence in Iraq while also mentioning challenges related to regional instability.",4,-0.025000000000000022
89,qwen2.5:3b-instruct,29134931,-0.4,-0.6,-0.5,0.0,0.85,"The article focuses on the recent disaster in Niscemi and its causes, highlighting the lack of early detection and inadequate response to geological risks. It leans left with critical comments about government inefficiency and delays in addressing the issue.",4,-0.375
90,qwen2.5:3b-instruct,29137930,0.0,-0.25,0.0,0.0,0.8,The article discusses paleontological findings without taking a clear political stance or bias.,4,-0.0625
91,qwen2.5:3b-instruct,29138340,-0.6,-0.8,-0.75,0.0,1.0,"The article heavily leans left in its subject, framing, and treatment biases, with Simone de Montmollin's arguments being the primary focus.",4,-0.5375
92,qwen2.5:3b-instruct,29138341,-0.2,-0.4,-0.3,0.0,0.8,"The article discusses a social assistance program for victims and their families, highlighting both the benefits and limitations of the system.",4,-0.22500000000000003
93,qwen2.5:3b-instruct,29138628,-0.4,-0.6,-0.5,0.0,0.85,"The article focuses on a law aimed at reducing fossil fuel usage and promoting renewable energy, but leans towards the right due to opposition from some groups.",4,-0.375
94,llama3.2:latest,28980688,-0.1,0.2,0.3,0.5,0.8,"L'article présente une vision générale positive de l'implantation des entreprises suisses en Irak, soulignant les opportunités économiques et la stabilité relative du pays. Cependant, il met également en évidence les défis géopolitiques et institutionnels qui freinent la confiance des investisseurs. La présence de plusieurs ambassadeurs et dirigeants politiques cités dans l'article contribue à une impression générale de favorabilité envers le gouvernement irakien et les entreprises suisses.",5,0.225
95,llama3.2:latest,29134931,-0.5,0.2,0.1,0.0,0.8,"L'article présente une analyse critique des politiques de construction et de prévention des catastrophes naturelles en Italie, avec un ton neutre et objectif. Les citations d'experts et les faits présentés sont bien documentés, mais la discussion sur le projet de pont suspendu est biaisée en faveur de l'opposition de gauche. Le ton de l'article est généralement critique envers les décisions politiques, mais sans être trop partiale.",5,-0.049999999999999996
96,llama3.2:latest,29137930,-0.05,0.0,0.0,0.0,1.0,"L'article présente un ton neutre et objectif, sans inclure de langage ou de réflexes partisans. Les chercheurs sont cités pour expliquer leurs découvertes, ce qui contribue à une compréhension objective du sujet.",5,-0.0125
97,llama3.2:latest,29138340,-0.5,-1.0,-0.2,0.0,0.8,"L'article présente une vision généralement positive du climat et des politiques environnementales, mais avec une critique de l'initiative pour un fonds climat qui suggère que la Suisse est déjà sur le bon chemin. La conseillère nationale Simone de Montmollin exprime ses inquiétudes quant à la rigidité et à l'ampleur de la mesure, ainsi qu'à la dette massive qu'elle va faire porter sur les générations futures.",5,-0.425
98,llama3.2:latest,29138341,-0.1,0.0,0.0,0.0,0.8,"L'article présente un ton neutre et ne semble pas avoir de préférence pour une idéologie en particulier. Cependant, certains passages suggèrent que le dispositif LAVI pourrait être utilisé pour soutenir les familles des victimes d'incendie, ce qui pourrait être perçu comme un geste favorable à la gauche. Les citations de Roland Favre et Jérôme Favez sont également neutres et ne contiennent pas d'expression politique évidente.",5,-0.025
99,llama3.2:latest,29138377,-1.0,-1.0,-1.0,-1.0,1.0,"L'article présente une analyse critique de la royauté norvégienne et des liens avec Jeffrey Epstein, suggérant un sujet de discussion politique et une framing favorables à la gauche.",5,-1.0
100,llama3.2:latest,29138628,-0.2,-0.1,0.0,-0.05,0.8,"La révision du texte a été adoptée par le Parlement avec une majorité de droite, mais les Verts et le Parti socialiste ont exprimé des réserves sur la loi. Le débat a été marqué par un ton plus tendre que prévu, ce qui pourrait indiquer une certaine évolution dans l'opinion publique sur les énergies renouvelables.",5,-0.08750000000000001
101,gemma2:latest,28980688,0.0,0.1,0.0,0.0,0.6,The article presents a generally neutral overview of Swiss businesses in Iraq. There is a slight right-leaning framing due to emphasis on economic opportunity and stability.,5,0.025
102,gemma2:latest,29134931,0.0,-0.1,0.0,0.0,0.4,The article focuses on a natural disaster and its political ramifications. There is a slight left-leaning framing due to the emphasis on government negligence and calls for prioritizing infrastructure repair over a bridge project.,5,-0.025
103,gemma2:latest,29137930,0.0,0.0,0.0,0.0,0.95,The article presents a scientific discovery about fossilized vomit and its implications for understanding ancient ecosystems. There is no discernible political slant.,5,0.0
104,gemma2:latest,29138340,0.2,-0.3,0.5,0.1,0.6,"The article presents arguments against a climate fund initiative, giving more space to the opposing viewpoint. The framing leans slightly left due to emphasis on potential negative consequences of the initiative.",5,0.125
105,gemma2:latest,29138341,0.0,0.0,0.0,0.0,0.8,The article reports on financial aid provided to victims of a fire. It presents factual information and quotes from officials and affected individuals without overt political slant.,5,0.0
106,gemma2:latest,29138377,0.0,0.1,0.0,0.0,0.4,"The article focuses on revelations about various individuals' connections to Jeffrey Epstein. The framing is largely neutral, presenting facts and quotes from involved parties.",5,0.025
107,gemma2:latest,29138628,0.0,-0.2,0.1,0.3,0.6,"The article focuses on a policy topic with left-leaning goals but presents diverse viewpoints. Left-leaning parties express dissatisfaction with the final outcome, while right-leaning parties oppose it.",5,0.049999999999999996
108,phi3:mini,28980688,-0.1,-0.2,-0.3,0.0,0.95,The article presents a balanced view of Swiss economic interests in Iraq but leans slightly towards concerns about regional instability and investment challenges for the right-leaning audience. The framing is subtly critical without being overtly biased.,5,-0.15000000000000002
109,phi3:mini,29138340,-0.1,-0.2,-0.3,0.0,0.95,The article leans slightly left due to its focus on environmental concerns and criticism of the initiative's potential for mass debt. The framing is more right-leaning as it supports existing Swiss climate policies over new ones that could lead to significant national indebtedness.,5,-0.15000000000000002
110,phi3:mini,29138341,-0.1,-0.2,-0.3,0.0,0.95,"The article appears to lean slightly left due to its focus on the struggles of victims' families and their financial hardships following an incident that seems to involve a community event or gathering (implied by 'incendie'). The tone is sympathetic towards these individuals. There isn’t any clear bias in guest selection as no political figures are quoted, hence guests_bias score 0.",5,-0.15000000000000002
111,phi3:mini,29138377,0.0,-1.0,-1.0,-1.0,0.95,The article presents a negative framing of both Mette-Marit and Jeffrey Epstein with clear bias against them in the treatment within the text; guests' political leanings are also evident.,5,-0.75
112,qwen2.5:3b-instruct,28980688,0.0,-0.25,-0.15,0.0,0.85,"The article discusses economic relations between Switzerland and Iraq, with a neutral subject bias. The framing is slightly left-leaning towards the positive aspects of cooperation, but treatment bias leans more to the right in favoring Swiss companies over other international entities.",5,-0.1
113,qwen2.5:3b-instruct,29134931,-0.4,-0.6,-0.5,0.0,0.85,"The article focuses on a natural disaster and its aftermath, with a strong emphasis on the lack of early detection and subsequent consequences. It highlights both left-leaning (e.g., calls for increased funding) and right-leaning (e.g., criticism of government projects) viewpoints.",5,-0.375
114,qwen2.5:3b-instruct,29137930,0.0,-0.25,-0.125,0.0,0.875,"The article discusses a fossil discovery and its implications for understanding ancient ecosystems, with no clear political bias in the content or tone.",5,-0.09375
115,qwen2.5:3b-instruct,29138340,-0.6,-0.8,-0.75,0.0,1.0,"The article heavily criticizes the initiative for climate fund, presenting it as overly ambitious and potentially harmful to future generations. It portrays critics of the initiative as reasonable and responsible.",5,-0.5375
116,qwen2.5:3b-instruct,29138341,-0.2,-0.4,-0.3,0.0,0.8,"The article discusses a social assistance program for victims of an incident, highlighting both the benefits and limitations of the system.",5,-0.22500000000000003
117,qwen2.5:3b-instruct,29138377,-0.5,-0.75,-0.625,-0.3125,0.9,"The article heavily focuses on high-profile political and social figures associated with Jeffrey Epstein, presenting their interactions in a negative light, which leans left.",5,-0.546875
118,qwen2.5:3b-instruct,29138628,-0.4,-0.6,-0.5,0.0,0.89,"The article focuses on a law aimed at reducing fossil fuel use and increasing renewable energy, but leans slightly to the right with its criticism of some groups.",5,-0.375
119,llama3.2:latest,28980688,-0.1,0.2,0.3,0.5,0.8,"L'article présente une vision générale positive de la relation entre l'Irak et la Suisse, avec des citations d'experts qui soulignent les avantages économiques de cette alliance. Cependant, les critiques mentionnées par l'ambassadeur suisse Daniel Hunn sur les tensions régionales et les ingérences extérieures suggèrent que le pays est confronté à des défis importants pour renforcer sa confiance en tant qu'investisseur.",6,0.225
120,llama3.2:latest,29134931,-0.5,0.2,0.1,0.0,0.8,"L'article présente une analyse objective des événements et des causes du glissement de terrain à Niscemi, mais il manque de détails sur les responsabilités politiques impliquées. La protection civile affirme que le terrain continue de bouger fortement, ce qui souligne l'importance d'une vigilance accrue pour la sécurité publique.",6,-0.049999999999999996
121,llama3.2:latest,29137930,-0.1,0.2,0.1,0.0,0.8,"L'article présente une approche scientifique objective et neutre, en présentant les découvertes de manière claire et concise. Les citations d'experts sont également équilibrées entre les deux parties politiques.",6,0.05
122,llama3.2:latest,29138340,-0.5,-1.0,-0.2,0.0,0.8,"L'article présente une vision généralement favorable à la protection du climat et aux politiques de gauche, mais avec des critiques constructives envers les mesures proposées par l'initiative. La conseillère nationale Simone de Montmollin exprime ses inquiétudes sur le coût potentiel d'un fonds climat et souligne l'importance de la gestion durable des finances.",6,-0.425
123,llama3.2:latest,29138341,-0.1,0.0,0.0,0.0,0.8,"L'article présente un ton neutre et ne prend pas position sur le sujet, mais souligne les difficultés financières que les familles de victimes peuvent rencontrer. Le discours du chef de l'Office valaisan de coordination des prestations sociales est plus formel et moins émotionnel que celui des proches des victimes. La mention des conséquences financières lourdes pour les familles est un point clé du article.",6,-0.025
124,llama3.2:latest,29138377,-1.0,-1.0,-1.0,-1.0,0.8,"L'article présente une analyse critique des liens entre les membres de la famille royale norvégienne et Jeffrey Epstein, soulignant les allégations d'abus sexuels et de complicité avec le financier américain. Les citations de Mette-Marit et Jack Lang sont présentées comme étant compromettantes pour leur image. Le ton de l'article est critique et déconstruit la narration officielle autour des liens entre les membres de la famille royale et Epstein.",6,-1.0
125,llama3.2:latest,29138628,-0.2,-0.1,0.05,-0.15,0.8,"L'article présente un ton relativement neutre, mais avec une légère tendance à la droite en raison de l'accent mis sur les objectifs de souveraineté énergétique et de réduction des coûts pour les propriétaires. Le langage utilisé est généralement formel et technique, ce qui peut contribuer à une impression de neutralité. Cependant, la présence de déclarations fortes de certains politiciens (par exemple, Nicolas Suter) suggère que l'article peut avoir une légère orientation à droite.",6,-0.1
126,gemma2:latest,28980688,0.0,0.1,0.0,0.0,0.6,The article presents a generally neutral overview of Swiss businesses in Iraq. There is a slight right-leaning bias due to the emphasis on economic opportunity and stability.,6,0.025
127,gemma2:latest,29134931,0.0,-0.1,0.0,0.0,0.4,The article focuses on a natural disaster and its political ramifications. There is a slight left-leaning framing due to the emphasis on government inaction and the opposition's call for funding reallocation.,6,-0.025
128,gemma2:latest,29137930,0.0,0.0,0.0,0.0,0.95,The article presents a scientific discovery about fossilized vomit and its implications for understanding ancient ecosystems. There is no discernible political slant in the topic or presentation.,6,0.0
129,gemma2:latest,29138340,0.0,-0.2,-0.3,0.1,0.6,"The article presents both sides of the climate fund initiative, but leans slightly left due to the focus on arguments against the initiative and quotes from a representative who opposes it.",6,-0.1
130,gemma2:latest,29138341,0.0,0.0,0.0,0.0,0.8,The article reports on financial aid provided to victims of a fire. There is no discernible political slant in the topic or coverage.,6,0.0
131,gemma2:latest,29138377,0.0,0.1,0.0,0.0,0.5,The article presents a factual account of individuals' connections to Jeffrey Epstein. There is a slight right-leaning framing due to the focus on political figures and potential scandals.,6,0.025
132,gemma2:latest,29138628,0.0,-0.2,0.1,0.2,0.6,"The article presents a factual account of the energy law revision. While it mentions left-leaning criticism of the law's limitations, it also highlights right-leaning opposition based on economic concerns. The overall tone is neutral.",6,0.025
133,phi3:mini,28980688,-0.1,-0.2,-0.3,0.0,0.85,The article appears to lean slightly left due to its focus on economic development and investments in Iraq's reconstruction post-crisis period. The tone is somewhat negative towards external influences hindering progress but remains neutral overall.,6,-0.15000000000000002
134,phi3:mini,29137930,-0.1,-0.2,0.0,0.0,0.95,"The article maintains a neutral tone with slight left-leaning bias in subject matter by discussing prehistoric life and ecosystem dynamics rather than contemporary politics or economics. The framing is slightly more negative towards the right due to its focus on ancient predators which might be perceived as less favorable compared to modern biodiversity conservation efforts often associated with left-leaning ideologies. However, there's no clear political bias in treatment and guests.",6,-0.07500000000000001
135,phi3:mini,29138340,-0.1,-0.5,-0.4,0.0,0.95,The article appears to lean slightly left due to its focus on environmental concerns and skepticism towards the proposed climate fund's effectiveness in addressing these issues quickly without significant debt implications for future generations.,6,-0.25
136,phi3:mini,29138341,-0.1,-0.2,-0.3,0.0,0.95,The article appears to lean slightly left due to its focus on social support for victims' families and the mention of solidarity efforts without significant right-leaning elements or criticisms towards such measures.,6,-0.15000000000000002
137,phi3:mini,29138377,0.0,-1.0,-1.5,-1.0,0.95,"The article exhibits a clear left-leaning bias through its negative portrayal of Jeffrey Epstein and the subjects associated with him. The framing is consistently critical towards right figures like Jack Lang and Peter Mandelson while sympathetically depicting Mette-Marit, Sarah Ferguson, and Andrew as victims or misguided individuals rather than culpable parties.",6,-0.875
